file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,TSPulse2,Diff_TSPulse2_vs_Baseline,Diff_ZS_vs_Baseline,Diff_TSPulse2_vs_Best_TSPulse,Diff_TSPulse2_vs_Ensemble
734_YAHOO_id_184_WebService_tr_500_1st_768,OmniAnomaly,0.9954075220651076,TSPulse_ZS_fft,0.65679,0.28615,0.88341,-0.1119975220651076,-0.33861752206510765,0.22662000000000004,0.59726
848_OPPORTUNITY_id_7_HumanActivity_tr_1477_1st_1577,Sub-PCA,0.7350305951887758,TSPulse_ZS_time,0.701273,0.423649,0.622999,-0.11203159518877581,-0.033757595188775746,-0.07827400000000007,0.19934999999999997
316_UCR_id_14_Sensor_tr_2833_1st_5988,Sub-KNN,0.9871209383490906,TSPulse_ZS_future,0.530182,0.281034,0.874857,-0.11226393834909065,-0.4569389383490906,0.34467499999999995,0.593823
199_SMD_id_22_Facility_tr_5925_1st_17580,KMeansAD,0.9433676306841078,TSPulse_ZS_ensemble,0.371584,0.371584,0.829085,-0.11428263068410782,-0.5717836306841078,0.45750099999999994,0.45750099999999994
452_UCR_id_150_Facility_tr_10000_1st_35774,POLY,0.8960027289657913,TSPulse_ZS_future,0.975885,0.928551,0.778895,-0.11710772896579125,0.07988227103420875,-0.19699,-0.149656
236_SED_id_3_Medical_tr_3740_1st_3840,Sub-HBOS,0.8774017826134639,TSPulse_ZS_future,0.543501,0.040956,0.759226,-0.11817578261346395,-0.3339007826134639,0.21572499999999994,0.71827
022_NAB_id_22_Facility_tr_1007_1st_2980,MOMENT (ZS),0.7366033089590095,TSPulse_ZS_ensemble,0.876629,0.876629,0.616377,-0.12022630895900954,0.1400256910409905,-0.26025200000000004,-0.26025200000000004
859_OPPORTUNITY_id_18_HumanActivity_tr_895_1st_995,Sub-PCA,0.9353296156830124,TSPulse_ZS_ensemble,0.803433,0.803433,0.814429,-0.12090061568301247,-0.13189661568301247,0.010996000000000006,0.010996000000000006
006_NAB_id_6_Traffic_tr_2579_1st_5839,KShapeAD,0.8405981274496447,TSPulse_ZS_future,0.882318,0.590419,0.715642,-0.12495612744964468,0.041719872550355364,-0.16667600000000005,0.12522299999999997
024_NAB_id_24_Synthetic_tr_1007_1st_2787,Series2Graph,0.9999991368789436,TSPulse_ZS_time,0.803525,0.34828,0.87371,-0.1262891368789436,-0.19647413687894355,0.07018499999999994,0.5254300000000001
836_Exathlon_id_27_Facility_tr_10766_1st_12590,Sub-PCA,0.9997489698207884,TSPulse_ZS_future,0.883144,0.446287,0.871783,-0.12796596982078845,-0.11660496982078838,-0.011361000000000065,0.425496
382_UCR_id_80_Medical_tr_7500_1st_11800,POLY,0.7424078895856209,TSPulse_ZS_fft,0.996323,0.959622,0.614113,-0.12829488958562085,0.2539151104143791,-0.38220999999999994,-0.34550899999999996
297_TODS_id_11_Synthetic_tr_500_1st_7,TimesFM,0.6765687034440035,TSPulse_ZS_future,0.585312,0.461839,0.548059,-0.1285097034440036,-0.0912567034440035,-0.03725300000000009,0.08621999999999996
432_UCR_id_130_Facility_tr_23000_1st_26970,KShapeAD,0.1998057769661999,TSPulse_ZS_time,0.846737,0.722993,0.06838,-0.1314257769661999,0.6469312230338,-0.778357,-0.654613
218_LTDB_id_3_Medical_tr_500_1st_266,SAND,0.9086461261590424,TSPulse_ZS_future,0.967056,0.816305,0.776986,-0.13166012615904243,0.05840987384095764,-0.19007000000000007,-0.03931899999999999
371_UCR_id_69_Medical_tr_1853_1st_6200,SAND,0.9711459382785206,TSPulse_ZS_time,0.776915,0.624531,0.839204,-0.13194193827852063,-0.19423093827852056,0.06228899999999993,0.214673
039_WSD_id_11_WebService_tr_1746_1st_1846,MOMENT (FT),0.8036037714994859,TSPulse_ZS_fft,0.740659,0.095349,0.662106,-0.14149777149948595,-0.06294477149948596,-0.07855299999999998,0.566757
247_SVDB_id_11_Medical_tr_20100_1st_23611,KMeansAD,0.8743703971980386,TSPulse_ZS_ensemble,0.665408,0.665408,0.730309,-0.14406139719803857,-0.20896239719803855,0.06490099999999999,0.06490099999999999
160_Stock_id_12_Finance_tr_500_1st_14,SR,0.9973235314817758,TSPulse_ZS_fft,0.681976,0.004156,0.850934,-0.1463895314817758,-0.31534753148177574,0.16895799999999994,0.8467779999999999
499_UCR_id_197_Environment_tr_2046_1st_5703,Sub-KNN,0.6693059027985462,TSPulse_ZS_future,0.931832,0.056502,0.517013,-0.15229290279854624,0.2625260972014538,-0.41481900000000005,0.46051099999999995
176_MITDB_id_7_Medical_tr_6232_1st_6332,KShapeAD,0.9626206288992588,TSPulse_ZS_future,0.788061,0.350069,0.80621,-0.15641062889925883,-0.1745596288992588,0.01814899999999997,0.45614099999999996
839_Exathlon_id_30_Facility_tr_10766_1st_12590,Sub-PCA,0.913978605729142,TSPulse_ZS_fft,0.911836,0.837643,0.753115,-0.16086360572914205,-0.002142605729142044,-0.158721,-0.08452800000000005
