file,Dataset,Best_Algo,Best_Score,Oracle,TSPulse2,TSPulse2Triangulation,TSPulse2_llm_selection_ablated_ensemble,TSPulse2_llm_selection_ablated_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse2_llm_selection_ablated_time,TSPulseFT,TSPulseZS
063_SMD_id_7_Facility_tr_5923_1st_6506,SMD,TSPulseFT,0.36,0.1865235084106034,0.1865235084106034,0.1865235084106034,0.1865235084106034,0.1862107808569225,0.1254690399887155,0.1857449408874653,0.36,0.2546351275695712
064_SMD_id_8_Facility_tr_2272_1st_2372,SMD,TSPulse2,0.476244944035337,0.476244944035337,0.476244944035337,0.476244944035337,0.476244944035337,0.4343209065373422,0.2254884597472169,0.4357876592714498,0.36,0.471936254144803
065_SMD_id_9_Facility_tr_737_1st_837,SMD,TSPulseFT,0.36,0.2795586874200498,0.2735880768242213,0.2795586874200498,0.2795586874200498,0.2735880768242213,0.1633786417684021,0.2779601980675925,0.36,0.2669018453611732
066_SMD_id_10_Facility_tr_2634_1st_2734,SMD,TSPulseFT,0.36,0.0662248491549457,0.0657155644585569,0.0657155644585569,0.0657155644585569,0.0662248491549457,0.0452856903278384,0.0635441769916784,0.36,0.1370961990421791
067_SMD_id_11_Facility_tr_1980_1st_2080,SMD,TSPulseFT,0.36,0.0535365473272427,0.0535365473272427,0.0514621418571782,0.0514621418571782,0.0520398516169625,0.0535365473272427,0.0519113419684658,0.36,0.2300720230783284
068_SMD_id_12_Facility_tr_1099_1st_1199,SMD,TSPulseZS,0.44834684765714,0.0158138773391266,0.0120942817219337,0.0120942817219337,0.0120942817219337,0.0121553285566855,0.0158138773391266,0.0122358671616074,0.36,0.44834684765714
069_SMD_id_13_Facility_tr_5925_1st_12760,SMD,TSPulse2_llm_selection_ablated_time,0.4006981472046736,0.4006981472046736,0.1615128177899365,0.3987212151085498,0.3987212151085498,0.3977900932435647,0.1615128177899365,0.4006981472046736,0.36,0.2749750766562469
070_SMD_id_14_Facility_tr_1070_1st_1170,SMD,TSPulseZS,0.4465979215411733,0.0596269585951303,0.0581446078665526,0.0581446078665526,0.0581446078665526,0.0596269585951303,0.0254107723310731,0.057913341786699,0.36,0.4465979215411733
071_SMD_id_15_Facility_tr_1109_1st_1209,SMD,TSPulseFT,0.36,0.0232792725007528,0.0232792725007528,0.0232792725007528,0.0232792725007528,0.023175777187847,0.0179331581088861,0.0222001079786761,0.36,0.3584968608955575
073_SMD_id_17_Facility_tr_5926_1st_10620,SMD,TSPulseFT,0.36,0.0196479226639942,0.0138319869239921,0.0138319869239921,0.0138319869239921,0.0136386006850322,0.0196479226639942,0.0138034348957545,0.36,0.1034098181724518
074_SMD_id_18_Facility_tr_7174_1st_21230,SMD,TSPulseZS,0.6164794691372658,0.3776032336516543,0.3754619520856852,0.3754619520856852,0.3754619520856852,0.3776032336516543,0.0680847670078945,0.377333085983038,0.36,0.6164794691372658
075_SMD_id_19_Facility_tr_564_1st_664,SMD,TSPulseFT,0.36,0.0319286058576634,0.0319286058576634,0.0319286058576634,0.0319286058576634,0.0299820257359048,0.0309824749648278,0.0297949968304054,0.36,0.1402743240105672
076_SMD_id_20_Facility_tr_5925_1st_17580,SMD,TSPulseZS,0.8134207444046961,0.3615134498011841,0.3598865698454632,0.3598865698454632,0.3598865698454632,0.3615134498011841,0.1344037509069952,0.3552138797817259,0.36,0.8134207444046961
077_SMD_id_21_Facility_tr_3026_1st_3126,SMD,TSPulseZS,0.4287221961512478,0.4073536684214343,0.4073536684214343,0.4073536684214343,0.4073536684214343,0.3889773848004769,0.2103287976405387,0.3878511008625093,0.36,0.4287221961512478
078_SMD_id_22_Facility_tr_500_1st_326,SMD,TSPulseFT,0.36,0.0507357595198421,0.0419057591214118,0.0419057591214118,0.0419057591214118,0.0356820991271548,0.0507357595198421,0.0426177523737954,0.36,0.2783459408378423
079_LTDB_id_1_Medical_tr_3618_1st_3718,LTDB,TSPulse2_llm_selection_ablated_fft,0.930116741338235,0.930116741338235,0.9293014478163888,0.8572190849830651,0.8572190849830651,0.930116741338235,0.2930855402402791,0.9293014478163888,0.57,0.7798243507489089
080_LTDB_id_2_Medical_tr_500_1st_266,LTDB,TSPulseFT,0.57,0.1975159311116966,0.1975159311116966,0.1583156198652675,0.1583156198652675,0.1636271549235526,0.1975159311116966,0.1547514771664659,0.57,0.1539710366320468
081_LTDB_id_3_Medical_tr_500_1st_26,LTDB,TSPulse2_llm_selection_ablated_fft,0.6824389159416573,0.6824389159416573,0.6756059655290233,0.6756059655290233,0.6756059655290233,0.6824389159416573,0.4111165906822944,0.6675119760443209,0.57,0.4830802398564166
083_LTDB_id_5_Medical_tr_15502_1st_15602,LTDB,TSPulseFT,0.57,0.0048688213912235,0.0048688213912235,0.0032238357966212,0.0032238357966212,0.0032360407400636,0.0048688213912235,0.0032431183262355,0.57,0.0181764932405539
084_SVDB_id_1_Medical_tr_12973_1st_13073,SVDB,TSPulseFT,0.47,0.1751621639669274,0.1619984297248576,0.1619984297248576,0.1262448228454145,0.1751621639669274,0.0246564698211272,0.1619984297248576,0.47,0.2710853047628828
