file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,Diff_ZS_vs_Baseline
116_TAO_id_1_Environment_tr_500_1st_3,PCA,0.9996786761544758,TSPulse_ZS_forecast,0.9478955359448468,0.8890148972639644,-0.05178314020962904
145_SMAP_id_2_Sensor_tr_2133_1st_5400,OmniAnomaly,0.2649366694645533,TSPulse_ZS_ensemble,0.2130612347430077,0.2130612347430077,-0.0518754347215456
124_TAO_id_9_Environment_tr_500_1st_1,PCA,0.999973850679894,TSPulse_ZS_forecast,0.9464100386074406,0.8809468397069765,-0.05356381207245342
010_MSL_id_9_Sensor_tr_554_1st_1172,OCSVM,0.099112949362464,TSPulse_ZS_forecast,0.0451368442610834,0.0358148579171117,-0.053976105101380595
111_SVDB_id_28_Medical_tr_1791_1st_1891,USAD,0.7965095239327346,TSPulse_ZS_fft,0.7383163463746205,0.7370295076963327,-0.05819317755811404
024_MITDB_id_6_Medical_tr_50000_1st_58118,USAD,0.1460043732641005,TSPulse2_tuning_set_channel_selection,0.0854699971532071,0.0518358039722397,-0.060534376110893406
022_MITDB_id_4_Medical_tr_50000_1st_54253,KMeansAD,0.1370723153587038,TSPulse_ZS_fft,0.0751413447853254,0.070797925435815,-0.06193097057337839
083_LTDB_id_5_Medical_tr_15502_1st_15602,OmniAnomaly,0.0761471835179089,TSPulse_ZS_fft,0.0136298850404596,0.0104787233013954,-0.0625172984774493
034_GHL_id_3_Sensor_tr_50000_1st_122001,LSTMAD,0.0771898859655049,TSPulse2_tuning_set_channel_selection,0.0127212903050849,0.0069571422637964,-0.06446859566042
168_SMAP_id_25_Sensor_tr_1998_1st_2098,KMeansAD,0.1803305902545121,TSPulse_ZS_fft,0.113293882071818,0.1117962569332568,-0.0670367081826941
115_PSM_id_1_Facility_tr_50000_1st_129872,AutoEncoder,0.280417886538396,TSPulse_ZS_time,0.2021797100233578,0.2004307757249365,-0.0782381765150382
162_SMAP_id_19_Sensor_tr_1908_1st_4690,KMeansAD,0.8329620561630944,TSPulse_ZS_fft,0.7536764807105559,0.0604994139516166,-0.07928557545253845
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,OFA,0.1721899341228927,TSPulse_ZS_scaled_ensemble,0.0927511455917574,0.0853776205859968,-0.07943878853113531
108_SVDB_id_25_Medical_tr_1238_1st_1338,OmniAnomaly,0.5062602992126449,TSPulse_ZS_fft,0.4264503552306966,0.3743281694135393,-0.07980994398194835
071_SMD_id_15_Facility_tr_1109_1st_1209,AutoEncoder,0.4429256528679864,TSPulse_ZS_forecast,0.3611050910374925,0.2250575296521606,-0.08182056183049391
008_MSL_id_7_Sensor_tr_656_1st_1630,CNN,0.9316206770622772,TSPulse2_tuning_set_channel_selection,0.8497684723447553,0.2214577831810424,-0.08185220471752197
056_GHL_id_25_Sensor_tr_50000_1st_105568,OmniAnomaly,0.1272724792002033,TSPulse2_tuning_set_channel_selection,0.0410620413604023,0.0109043061771069,-0.086210437839801
019_MITDB_id_1_Medical_tr_37500_1st_103211,CNN,0.2777642017005242,TSPulse2_tuning_set_channel_selection,0.1890221194274013,0.1661210078387147,-0.08874208227312289
103_SVDB_id_20_Medical_tr_12167_1st_12267,KMeansAD,0.1287157338839227,TSPulse_ZS_fft,0.0389706733545258,0.0386460497360627,-0.0897450605293969
121_TAO_id_6_Environment_tr_500_1st_7,CBLOF,0.9999626070760904,TSPulse_ZS_forecast,0.9084381862097156,0.8568332543899623,-0.0915244208663748
128_TAO_id_13_Environment_tr_500_1st_7,CBLOF,0.9999626070760904,TSPulse_ZS_forecast,0.9084381862097156,0.8568332543899623,-0.0915244208663748
045_GHL_id_14_Sensor_tr_50000_1st_85076,Donut,0.1041822677089203,TSPulse2_tuning_set_channel_selection,0.0117340416609584,0.0069349684007516,-0.0924482260479619
063_SMD_id_7_Facility_tr_5923_1st_6506,TranAD,0.5046495546142873,TSPulse_ZS_fft,0.412155906605739,0.4110991004462806,-0.09249364800854831
042_GHL_id_11_Sensor_tr_50000_1st_150001,LSTMAD,0.1071712612396772,TSPulse2_tuning_set_channel_selection,0.0126741326513462,0.0055604487823258,-0.094497128588331
002_MSL_id_1_Sensor_tr_500_1st_900,KMeansAD,0.9960656085287,TSPulse2_tuning_set_channel_selection,0.892234648190205,0.3636049735907305,-0.10383096033849493
054_GHL_id_23_Sensor_tr_50000_1st_135001,OCSVM,0.1284367276908022,TSPulse2_tuning_set_channel_selection,0.0180511387523905,0.0130103885364149,-0.11038558893841169
086_SVDB_id_3_Medical_tr_533_1st_633,KMeansAD,0.285100043310714,TSPulse_ZS_ensemble,0.1724073060324941,0.1724073060324941,-0.11269273727821988
017_MSL_id_16_Sensor_tr_512_1st_1850,LSTMAD,0.9833679823928828,TSPulse2_tuning_set_channel_selection,0.8657710604471881,0.2901077613242049,-0.11759692194569471
122_TAO_id_7_Environment_tr_500_1st_19,MCD,0.9999053172567997,TSPulse_ZS_forecast,0.881107833831971,0.7860732633009105,-0.11879748342482865
038_GHL_id_7_Sensor_tr_50000_1st_100001,USAD,0.134137942563697,TSPulse2_tuning_set_channel_selection,0.0148757771893049,0.006117456672505,-0.11926216537439209
